2000	  0.94791   -19.147787    2.3470297   2.8531451   0.9331829   0.5802539
4000	  0.6484135 -70.64058     2.666338    3.7365925   1.069054    0.6799603
6000	   0.51528454 -118.59284       2.4082363     2.7478845     1.0695193     0.68217105
8000	   0.47432297 -154.74547       2.0568986     1.6633086     1.0612581     0.6815021 
10000	   0.48810577 -181.53012       1.7291441     1.0193797     1.0494846     0.68075716
12000	   0.5073905  -201.99849       1.4620397     0.6673237     1.0353292     0.67928565
14000	   0.5328121  -218.18169       1.252814      0.46575934    1.0202212     0.6750668 
16000	   0.55935645 -231.33092       1.0904355     0.34262154    1.001638      0.66913456
18000	   0.5872671  -242.30392       0.96479326    0.2625738     0.9833477     0.66264987
20000	 6.1443979e-01 -2.5162976e+02  8.6518335e-01  2.0790561e-01  9.6458578e-01  6.5295702e-01
22000	 6.3852501e-01 -2.5967630e+02  7.8507560e-01  1.6905616e-01  9.4692832e-01  6.4241529e-01
24000	 6.5411663e-01 -2.6672934e+02  7.2014570e-01  1.4053079e-01  9.2622113e-01  6.2831181e-01
26000	 6.6433692e-01 -2.7298550e+02  6.6712177e-01  1.1878703e-01  9.0649402e-01  6.1818153e-01
28000	 6.87569797e-01 -2.78574799e+02  6.23266220e-01  1.01871245e-01  8.87967110e-01  6.08003139e-01
30000	 6.9108564e-01 -2.8360507e+02  5.8594739e-01  8.8564493e-02  8.7228149e-01  5.8637536e-01
32000	 7.1933967e-01 -2.8819107e+02  5.5415320e-01  7.7760406e-02  8.5205919e-01  5.8093882e-01
34000	 7.2753245e-01 -2.9242868e+02  5.2770662e-01  6.8891011e-02  8.3279204e-01  5.6031668e-01
36000	 7.4006796e-01 -2.9629901e+02  5.0467187e-01  6.1887898e-02  8.1633478e-01  4.8981759e-01
38000	 7.6119137e-01 -2.9988852e+02  4.8376948e-01  5.6054179e-02  7.9851139e-01  4.7540155e-01
40000	 7.6663548e-01 -3.0328458e+02  4.6600237e-01  5.0995559e-02  7.8202534e-01  4.6482098e-01
42000	 7.8151333e-01 -3.0647232e+02  4.5027387e-01  4.6572883e-02  7.6565677e-01  4.6565181e-01
44000	 7.9609549e-01 -3.0942590e+02  4.3531862e-01  4.2735856e-02  7.5070304e-01  4.3721625e-01
46000	 8.0736196e-01 -3.1224213e+02  4.2230496e-01  3.9393228e-02  7.3735112e-01  3.9776960e-01
48000	 8.2280362e-01 -3.1486945e+02  4.0945670e-01  3.6420353e-02  7.2378492e-01  4.2348754e-01
50000	 8.1385124e-01 -3.1737375e+02  3.9765340e-01  3.3784669e-02  7.1027130e-01  4.0045995e-01
52000	 8.3325315e-01 -3.1973282e+02  3.8673103e-01  3.1450234e-02  6.9568592e-01  3.6421719e-01
54000	 8.3740658e-01 -3.2193570e+02  3.7558195e-01  2.9403927e-02  6.8387455e-01  3.1156713e-01
56000	 8.5253143e-01 -3.2402182e+02  3.6536130e-01  2.7647920e-02  6.6718000e-01  2.8338400e-01
58000	 8.4964710e-01 -3.2603488e+02  3.5663179e-01  2.5999572e-02  6.5747893e-01  2.9026613e-01
60000	 8.6311752e-01 -3.2795432e+02  3.4830368e-01  2.4516461e-02  6.4254504e-01  2.5655454e-01
62000	 8.7572998e-01 -3.2979831e+02  3.4063086e-01  2.3147162e-02  6.3149589e-01  2.5707459e-01
64000	 8.9110965e-01 -3.3154459e+02  3.3307248e-01  2.1911038e-02  6.2209445e-01  2.4889158e-01
66000	 8.9145726e-01 -3.3323145e+02  3.2618237e-01  2.0788403e-02  6.0388523e-01  1.8037632e-01
68000	 9.0178025e-01 -3.3485388e+02  3.2025757e-01  1.9761859e-02  5.9295863e-01  2.1987410e-01
70000	 9.2029470e-01 -3.3644705e+02  3.1452492e-01  1.8800318e-02  5.8009350e-01  1.8428296e-01
72000	 9.0761489e-01 -3.3793079e+02  3.0879945e-01  1.7936394e-02  5.7270694e-01  1.6713049e-01
74000	 9.1663271e-01 -3.3935831e+02  3.0303201e-01  1.7134652e-02  5.6269944e-01  1.3355491e-01
76000	 9.3013215e-01 -3.4071756e+02  2.9754341e-01  1.6390644e-02  5.5243146e-01  1.2928742e-01
78000	 9.3454409e-01 -3.4205435e+02  2.9240161e-01  1.5705666e-02  5.4021472e-01  1.3242145e-01
80000	 9.3710095e-01 -3.4334500e+02  2.8767109e-01  1.5057266e-02  5.2926511e-01  7.5061277e-02
82000	 9.5241147e-01 -3.4459738e+02  2.8314123e-01  1.4453903e-02  5.2194798e-01  9.6862666e-02
84000	 9.6285260e-01 -3.4577274e+02  2.7841291e-01  1.3885299e-02  5.0954884e-01  6.6153273e-02
86000	 9.7280800e-01 -3.4691229e+02  2.7393031e-01  1.3363107e-02  4.9908218e-01  1.0297336e-02
88000	 9.7036195e-01 -3.4799722e+02  2.6979965e-01  1.2870281e-02  4.9207023e-01  1.2755447e-02
90000	 9.7736865e-01 -3.4902286e+02  2.6544559e-01  1.2410343e-02  4.8813844e-01  5.7164612e-03
92000	 9.9164218e-01 -3.5003046e+02  2.6150417e-01  1.1972298e-02  4.7211289e-01 -1.2278249e-02
94000	 9.9716622e-01 -3.5098810e+02  2.5777537e-01  1.1556356e-02  4.6607333e-01  4.4450378e-03
96000	 1.00083160e+00 -3.51914642e+02  2.54122347e-01  1.11499075e-02  4.57629263e-01  6.18934184e-02
98000	 9.9745750e-01 -3.5281168e+02  2.5056788e-01  1.0778770e-02  4.5116860e-01 -2.6130389e-02
100000	 9.9952638e-01 -3.5367941e+02  2.4699029e-01  1.0428012e-02  4.4086498e-01 -2.9927362e-02
102000	 1.0248080e+00 -3.5450681e+02  2.4357757e-01  1.0096597e-02  4.3457684e-01 -6.0542732e-02
104000	 1.04376829e+00 -3.55322144e+02  2.40447730e-01  9.78873111e-03  4.23646539e-01 -1.07276596e-01
106000	 1.0503064e+00 -3.5612289e+02  2.3746319e-01  9.5028374e-03  4.1555879e-01 -1.4832941e-01
108000	 1.0592099e+00 -3.5687311e+02  2.3430054e-01  9.2308298e-03  4.1309693e-01 -1.5625711e-01
110000	 1.0536828e+00 -3.5764566e+02  2.3119639e-01  8.9800339e-03  4.0269050e-01 -1.9742648e-01
112000	 1.0756415e+00 -3.5835931e+02  2.2824109e-01  8.7361392e-03  3.9286378e-01 -1.9886968e-01
114000	 1.0877568e+00 -3.5904840e+02  2.2547859e-01  8.5177189e-03  3.8630068e-01 -3.1604028e-01
116000	 1.1077899e+00 -3.5972977e+02  2.2285742e-01  8.3059222e-03  3.7625477e-01 -2.6827615e-01
118000	 1.1130683e+00 -3.6040842e+02  2.2073206e-01  8.1007136e-03  3.6871493e-01 -3.0350438e-01
120000	 1.1285117e+00 -3.6105487e+02  2.1835944e-01  7.9107517e-03  3.6395472e-01 -3.8895354e-01
122000	 1.1341844e+00 -3.6167233e+02  2.1593231e-01  7.7279271e-03  3.5730928e-01 -3.9285615e-01
124000	 1.1295388e+00 -3.6226712e+02  2.1368355e-01  7.5534685e-03  3.5319984e-01 -3.8190928e-01
126000	 1.1506370e+00 -3.6287531e+02  2.1149339e-01  7.3855105e-03  3.4257650e-01 -4.3349829e-01
128000	 1.1650366e+00 -3.6344586e+02  2.0952545e-01  7.2277714e-03  3.3855572e-01 -4.5267162e-01
130000	 1.1535090e+00 -3.6401025e+02  2.0739949e-01  7.0708543e-03  3.2993609e-01 -3.5562009e-01
132000	 1.1491112e+00 -3.6455783e+02  2.0560344e-01  6.9141230e-03  3.2091001e-01 -4.2328832e-01
134000	 1.1775210e+00 -3.6512216e+02  2.0375568e-01  6.7729591e-03  3.1875846e-01 -4.9178687e-01
136000	 1.1839112e+00 -3.6564084e+02  2.0189965e-01  6.6357288e-03  3.1317547e-01 -5.2938592e-01
138000	 1.1931847e+00 -3.6617282e+02  1.9995518e-01  6.5117795e-03  3.1374449e-01 -6.1934805e-01
140000	 1.2103139e+00 -3.6666046e+02  1.9785571e-01  6.3934028e-03  3.0493012e-01 -5.7889152e-01
142000	 1.1936393e+00 -3.6711411e+02  1.9590355e-01  6.2758136e-03  2.9877362e-01 -5.7896620e-01
144000	 1.2110920e+00 -3.6756735e+02  1.9400100e-01  6.1570113e-03  2.9400760e-01 -5.4740983e-01
146000	 1.2336100e+00 -3.6797525e+02  1.9208366e-01  6.0443478e-03  2.8890720e-01 -6.1380118e-01
148000	 1.2325990e+00 -3.6838312e+02  1.9032773e-01  5.9333178e-03  2.8175265e-01 -5.7070065e-01
150000	 1.2252977e+00 -3.6878607e+02  1.8859303e-01  5.8282646e-03  2.8090763e-01 -6.7635733e-01
152000	 1.2302419e+00 -3.6916092e+02  1.8671629e-01  5.7262238e-03  2.7359441e-01 -6.1496407e-01
154000	 1.2430558e+00 -3.6956265e+02  1.8510260e-01  5.6281872e-03  2.6541668e-01 -6.4195603e-01
156000	 1.2410156e+00 -3.6994479e+02  1.8366121e-01  5.5320100e-03  2.6027614e-01 -6.4753938e-01
158000	 1.2439308e+00 -3.7032138e+02  1.8210463e-01  5.4368204e-03  2.5755218e-01 -6.4188975e-01
160000	 1.2524225e+00 -3.7066483e+02  1.8060401e-01  5.3435555e-03  2.5310314e-01 -6.3757461e-01
162000	 1.2446293e+00 -3.7101718e+02  1.7915748e-01  5.2596843e-03  2.5021005e-01 -7.3697317e-01
