1000	0. 0. 0. 0. 0. 0.
2000	  0.49529383 -18.078323     2.3689117    2.7204573    0.9313707    0.5867039 
3000	  0.41012463 -40.463253     2.6873333    3.4427001    1.0552219    0.6682735 
4000	  0.41717753 -64.22366      2.6719708    3.5425248    1.0707614    0.6793175 
5000	  0.37047264 -86.62009      2.5638058    3.2063532    1.0706152    0.6809123 
6000	   0.31841576 -106.42128       2.4154804     2.6584039     1.0677279     0.68074745
7000	   0.2836846 -123.36923      2.249351     2.1052992    1.0634583    0.6786746
8000	   0.25179237 -137.71793       2.079299      1.6446666     1.0592208     0.6765786 
9000	   0.2227132 -149.84822      1.9128044    1.2913451    1.053731     0.6739047
10000	   0.2109797 -160.176        1.7568929    1.0282989    1.0484083    0.6695851
11000	   0.19754347 -168.98961       1.6142119     0.83260757    1.0423266     0.6638979 
12000	   0.18722355 -176.56445       1.4840337     0.68598205    1.0363805     0.65476847
13000	 1.7715676e-01 -1.8308441e+02  1.3662128e+00  5.7471287e-01  1.0297000e+00  6.4774901e-01
14000	 1.6447876e-01 -1.8873592e+02  1.2610774e+00  4.8897240e-01  1.0241182e+00  6.3412595e-01
15000	 1.6955179e-01 -1.9362895e+02  1.1658909e+00  4.2150605e-01  1.0175104e+00  6.2395293e-01
16000	 1.5884355e-01 -1.9788403e+02  1.0816950e+00  3.6758390e-01  1.0103545e+00  6.1451685e-01
17000	 1.6071652e-01 -2.0157318e+02  1.0053415e+00  3.2366720e-01  1.0046172e+00  5.9900457e-01
18000	 1.5064576e-01 -2.0477562e+02  9.3617636e-01  2.8737879e-01  9.9876124e-01  5.8690482e-01
19000	 1.5126391e-01 -2.0753114e+02  8.7354797e-01  2.5740719e-01  9.9270004e-01  5.6743324e-01
20000	 1.4328589e-01 -2.0992603e+02  8.1646961e-01  2.3316430e-01  9.8799258e-01  5.2354866e-01
21000	 1.3250616e-01 -2.1197829e+02  7.6343787e-01  2.1301097e-01  9.8292696e-01  5.1382363e-01
22000	 1.2670304e-01 -2.1373610e+02  7.1499103e-01  1.9557795e-01  9.7951710e-01  4.8527932e-01
23000	 1.2099054e-01 -2.1521152e+02  6.6967678e-01  1.8085487e-01  9.7631896e-01  4.5622191e-01
24000	 1.1794023e-01 -2.1643752e+02  6.2787795e-01  1.6781482e-01  9.7251534e-01  4.3170980e-01
25000	 1.1821241e-01 -2.1743832e+02  5.8915973e-01  1.5647374e-01  9.6910387e-01  4.0823168e-01
26000	 1.08077854e-01 -2.18241287e+02  5.53287446e-01  1.46018073e-01  9.66112494e-01  4.23476249e-01
27000	 1.0583453e-01 -2.1884273e+02  5.1992285e-01  1.3636108e-01  9.6361518e-01  3.9969712e-01
28000	 1.0468365e-01 -2.1926762e+02  4.8908642e-01  1.2800048e-01  9.6071523e-01  3.5862109e-01
29000	 9.5698275e-02 -2.1954308e+02  4.6050048e-01  1.2045449e-01  9.5849329e-01  3.5634130e-01
30000	 9.5824711e-02 -2.1966736e+02  4.3391410e-01  1.1366549e-01  9.5629138e-01  3.3331424e-01
31000	 9.19656903e-02 -2.19654770e+02  4.09320831e-01  1.07551426e-01  9.52186942e-01  2.87755162e-01
32000	 8.8729821e-02 -2.1953101e+02  3.8669932e-01  1.0196789e-01  9.5077431e-01  3.1821164e-01
33000	 8.8435248e-02 -2.1929167e+02  3.6566481e-01  9.6627571e-02  9.4743502e-01  2.7555278e-01
34000	 8.9626357e-02 -2.1896005e+02  3.4610549e-01  9.1721632e-02  9.4659889e-01  2.8027767e-01
35000	 8.3725549e-02 -2.1853348e+02  3.2783988e-01  8.7079205e-02  9.4480485e-01  2.9054484e-01
36000	 8.3880760e-02 -2.1803659e+02  3.1084010e-01  8.2643352e-02  9.4250548e-01  2.9474998e-01
37000	 8.6118527e-02 -2.1744778e+02  2.9503691e-01  7.8513250e-02  9.4050914e-01  2.8917205e-01
38000	 8.2435794e-02 -2.1680399e+02  2.8032768e-01  7.4630499e-02  9.3847561e-01  2.7862960e-01
39000	 8.6727306e-02 -2.1609482e+02  2.6664498e-01  7.1042001e-02  9.3563759e-01  2.6667601e-01
40000	 8.2701504e-02 -2.1533347e+02  2.5389883e-01  6.7727394e-02  9.3413156e-01  2.4768455e-01
41000	 8.3501145e-02 -2.1452451e+02  2.4204448e-01  6.4702109e-02  9.3116969e-01  2.2251916e-01
42000	 8.3959065e-02 -2.1366339e+02  2.3105806e-01  6.1911125e-02  9.2819053e-01  2.1391271e-01
43000	 8.5266389e-02 -2.1275732e+02  2.2077443e-01  5.9288114e-02  9.2467374e-01  2.0183560e-01
44000	 8.0776975e-02 -2.1180231e+02  2.1120466e-01  5.6794029e-02  9.2158812e-01  2.2567479e-01
45000	 8.0910526e-02 -2.1081960e+02  2.0229696e-01  5.4375567e-02  9.1911852e-01  2.1418819e-01
46000	 8.5052297e-02 -2.0981717e+02  1.9390647e-01  5.2177142e-02  9.1545719e-01  1.9248991e-01
47000	 8.0957890e-02 -2.0877516e+02  1.8608834e-01  5.0094165e-02  9.1150504e-01  1.9180869e-01
48000	 8.2474381e-02 -2.0771172e+02  1.7876767e-01  4.8105128e-02  9.0760612e-01  1.8875054e-01
49000	 7.9322904e-02 -2.0663261e+02  1.7193241e-01  4.6258520e-02  9.0391093e-01  1.6885249e-01
50000	 8.4470816e-02 -2.0553270e+02  1.6554940e-01  4.4524506e-02  8.9878106e-01  1.6702993e-01
51000	 8.3823964e-02 -2.0441263e+02  1.5961967e-01  4.2856272e-02  8.9039791e-01  1.8865108e-01
52000	 8.3067663e-02 -2.0327438e+02  1.5411563e-01  4.1285992e-02  8.8466555e-01  1.6262698e-01
53000	 8.5150599e-02 -2.0213029e+02  1.4892995e-01  3.9797045e-02  8.8029611e-01  1.6301538e-01
54000	 8.0564901e-02 -2.0098795e+02  1.4405954e-01  3.8381651e-02  8.7371212e-01  1.6124173e-01
55000	 7.3176809e-02 -1.9982811e+02  1.3942003e-01  3.7045419e-02  8.7336254e-01  1.4720502e-01
56000	 7.7493511e-02 -1.9865314e+02  1.3503233e-01  3.5781495e-02  8.6976242e-01  1.5250346e-01
57000	 7.9092532e-02 -1.9747256e+02  1.3089892e-01  3.4582138e-02  8.5837394e-01  1.3106108e-01
58000	 8.1002861e-02 -1.9628638e+02  1.2702869e-01  3.3435110e-02  8.5763526e-01  1.4697450e-01
59000	 8.2583994e-02 -1.9509244e+02  1.2335160e-01  3.2320790e-02  8.4918314e-01  1.4051700e-01
60000	 8.2049496e-02 -1.9389651e+02  1.1994462e-01  3.1271100e-02  8.4044462e-01  1.3174248e-01
61000	 8.5352503e-02 -1.9270956e+02  1.1666726e-01  3.0270297e-02  8.3912855e-01  1.3956852e-01
62000	 7.9217076e-02 -1.9150983e+02  1.1358332e-01  2.9314838e-02  8.2952052e-01  1.4338721e-01
63000	 8.5695513e-02 -1.9031039e+02  1.1067136e-01  2.8406601e-02  8.2465756e-01  1.3587704e-01
64000	 8.2430936e-02 -1.8912485e+02  1.0787708e-01  2.7541928e-02  8.2376409e-01  1.1854587e-01
65000	 7.9951681e-02 -1.8793945e+02  1.0519360e-01  2.6725788e-02  8.1381160e-01  9.6637107e-02
66000	 8.2728088e-02 -1.8676357e+02  1.0270426e-01  2.5951017e-02  8.0285722e-01  1.0539327e-01
67000	 9.1389716e-02 -1.8558098e+02  1.0033208e-01  2.5203669e-02  7.9917806e-01  1.0110643e-01
68000	 8.5403338e-02 -1.8441393e+02  9.8080553e-02  2.4485743e-02  7.9411948e-01  1.0043340e-01
69000	 9.15208533e-02 -1.83245209e+02  9.59094688e-02  2.37974022e-02  7.92524755e-01  1.03416815e-01
70000	 9.9230401e-02 -1.8208513e+02  9.3840994e-02  2.3137512e-02  7.7926391e-01  1.0528060e-01
71000	 9.80188176e-02 -1.80927444e+02  9.18954387e-02  2.24992614e-02  7.77482390e-01  1.05102174e-01
72000	 9.1593213e-02 -1.7977928e+02  8.9963987e-02  2.1888079e-02  7.7303445e-01  1.0686569e-01
73000	 8.95723030e-02 -1.78619690e+02  8.81040692e-02  2.13048551e-02  7.73322463e-01  1.02430634e-01
74000	 8.9730792e-02 -1.7747356e+02  8.6319454e-02  2.0747604e-02  7.7024263e-01  7.4797437e-02
75000	 9.0588249e-02 -1.7631770e+02  8.4586367e-02  2.0215508e-02  7.6692241e-01  7.5664692e-02
76000	 8.8263288e-02 -1.7516995e+02  8.2906835e-02  1.9707363e-02  7.5687128e-01  7.4497588e-02
77000	 8.5578717e-02 -1.7403693e+02  8.1302539e-02  1.9223010e-02  7.5601631e-01  3.4427866e-02
78000	 8.7127849e-02 -1.7290453e+02  7.9734743e-02  1.8762605e-02  7.5050682e-01  3.8306601e-02
79000	 8.7085158e-02 -1.7176895e+02  7.8232758e-02  1.8318860e-02  7.4723065e-01  3.0085446e-02
80000	 8.8547029e-02 -1.7063771e+02  7.6816440e-02  1.7888110e-02  7.3327065e-01  5.1006582e-02
81000	 8.0502748e-02 -1.6953471e+02  7.5480811e-02  1.7466335e-02  7.2569436e-01  3.6025733e-02
82000	 8.7466210e-02 -1.6842104e+02  7.4166633e-02  1.7069491e-02  7.2705477e-01  2.2940867e-02
83000	 8.1604846e-02 -1.6732059e+02  7.2902143e-02  1.6681695e-02  7.1811116e-01  4.0513046e-02
84000	 8.2996160e-02 -1.6623566e+02  7.1698941e-02  1.6305124e-02  7.0798784e-01  5.5852160e-02
85000	 8.5233040e-02 -1.6514806e+02  7.0589632e-02  1.5936274e-02  6.9762617e-01  5.8826298e-02
86000	 8.1157833e-02 -1.6408180e+02  6.9502927e-02  1.5582229e-02  6.9361311e-01  4.3092079e-02
87000	 7.9125844e-02 -1.6301933e+02  6.8430990e-02  1.5243494e-02  6.9565582e-01  3.1038765e-02
88000	 7.8582160e-02 -1.6195543e+02  6.7366093e-02  1.4918592e-02  6.9837296e-01  1.4954858e-02
89000	 7.3004290e-02 -1.6090053e+02  6.6345319e-02  1.4608785e-02  6.8385512e-01 -6.0250284e-03
90000	 7.2963066e-02 -1.5985411e+02  6.5385863e-02  1.4322022e-02  6.7083168e-01 -1.4835595e-01
91000	 7.2991654e-02 -1.5880548e+02  6.4492851e-02  1.4067378e-02  6.5934110e-01 -1.9619037e-01
92000	 7.1834922e-02 -1.5776521e+02  6.3694328e-02  1.3813136e-02  6.2873369e-01 -8.0808401e-02
93000	 6.9824867e-02 -1.5673578e+02  6.2928528e-02  1.3545634e-02  6.3282633e-01 -2.8523494e-02
94000	 7.1141064e-02 -1.5571725e+02  6.2160160e-02  1.3281456e-02  6.3912922e-01 -9.0969522e-03
95000	 7.0696168e-02 -1.5471317e+02  6.1380990e-02  1.3024432e-02  6.3749641e-01 -9.9229375e-03
96000	 6.7995124e-02 -1.5371863e+02  6.0582854e-02  1.2770925e-02  6.5422809e-01 -7.6232152e-03
97000	 6.8520889e-02 -1.5272554e+02  5.9780262e-02  1.2525160e-02  6.4503717e-01 -8.2854368e-03
98000	 7.0193410e-02 -1.5174756e+02  5.9030581e-02  1.2289755e-02  6.2593186e-01 -2.1260485e-02
99000	 6.7555770e-02 -1.5078152e+02  5.8331426e-02  1.2060329e-02  6.2266552e-01 -2.8324949e-02
100000	 6.6961952e-02 -1.4981693e+02  5.7635508e-02  1.1834443e-02  6.2111187e-01 -1.4252585e-02
101000	 6.73650056e-02 -1.48857285e+02  5.69418520e-02  1.16192745e-02  6.17449999e-01 -7.83808231e-02
102000	 6.6751167e-02 -1.4791711e+02  5.6261837e-02  1.1414578e-02  6.1817372e-01 -6.2496174e-02
103000	 6.6426754e-02 -1.4698012e+02  5.5583913e-02  1.1206866e-02  6.3018030e-01 -1.6939070e-03
104000	 6.7886010e-02 -1.4605359e+02  5.4893229e-02  1.1003417e-02  6.2141609e-01  1.7327664e-02
105000	 6.6998363e-02 -1.4513060e+02  5.4192115e-02  1.0807383e-02  6.3671321e-01 -1.8798972e-02
106000	 6.6669434e-02 -1.4421364e+02  5.3493802e-02  1.0620510e-02  6.1886775e-01 -1.7504839e-02
107000	 6.3879259e-02 -1.4330000e+02  5.2826431e-02  1.0435508e-02  6.2558460e-01 -1.3978430e-02
108000	 6.5198399e-02 -1.4239297e+02  5.2173655e-02  1.0254550e-02  6.1306262e-01  4.8557995e-03
109000	 6.5417655e-02 -1.4149524e+02  5.1548477e-02  1.0077938e-02  6.0744548e-01 -1.7779021e-04
110000	 6.5068759e-02 -1.4060359e+02  5.0935932e-02  9.9087460e-03  6.0491866e-01 -3.4789462e-02
111000	 6.3865945e-02 -1.3972807e+02  5.0351426e-02  9.7424053e-03  5.9716058e-01 -1.3967113e-02
112000	 6.5596551e-02 -1.3885295e+02  4.9780827e-02  9.5800022e-03  5.8908105e-01  2.5926959e-02
113000	 6.4142704e-02 -1.3799008e+02  4.9234670e-02  9.4173932e-03  5.8754617e-01  4.2941302e-02
114000	 6.4692058e-02 -1.3713361e+02  4.8707452e-02  9.2580104e-03  5.7244354e-01  3.9786849e-02
115000	 6.2700652e-02 -1.3629138e+02  4.8199207e-02  9.1061611e-03  5.7796586e-01 -5.6607551e-03
116000	 6.5267541e-02 -1.3545406e+02  4.7700211e-02  8.9592366e-03  5.6950563e-01  5.2857311e-03
117000	 6.4579621e-02 -1.3461810e+02  4.7209769e-02  8.8166371e-03  5.7135963e-01 -4.0038414e-02
118000	 6.4446151e-02 -1.3379579e+02  4.6733718e-02  8.6778142e-03  5.6102127e-01  6.8421271e-03
119000	 6.4297758e-02 -1.3298306e+02  4.6274595e-02  8.5399104e-03  5.5826432e-01  3.2701949e-03
120000	 6.5145828e-02 -1.3215778e+02  4.5817282e-02  8.4054861e-03  5.5341876e-01  4.7142163e-02
121000	 6.5386757e-02 -1.3135544e+02  4.5384113e-02  8.2750907e-03  5.4269683e-01  4.4152819e-04
122000	 6.5943405e-02 -1.3056863e+02  4.4964533e-02  8.1519028e-03  5.4191071e-01 -4.1567244e-02
123000	 6.4713553e-02 -1.2979567e+02  4.4553358e-02  8.0299182e-03  5.3598809e-01 -4.9328990e-02
124000	 6.4093269e-02 -1.2902118e+02  4.4161834e-02  7.9106288e-03  5.3226233e-01  1.9856857e-03
125000	 6.5215595e-02 -1.2824437e+02  4.3757889e-02  7.7948389e-03  5.3176397e-01  8.2809851e-03
126000	 6.6643909e-02 -1.2749123e+02  4.3356489e-02  7.6809213e-03  5.2895367e-01 -2.4820609e-02
127000	 6.5312751e-02 -1.2673352e+02  4.2962711e-02  7.5723138e-03  5.2798212e-01 -8.3626375e-02
128000	 6.6071659e-02 -1.2599681e+02  4.2596936e-02  7.4674785e-03  5.1079661e-01 -5.3146251e-02
129000	 6.4048767e-02 -1.2525250e+02  4.2230967e-02  7.3620901e-03  5.1700294e-01 -1.0925592e-02
130000	 6.813812e-02 -1.245163e+02  4.186722e-02  7.259071e-03  5.200450e-01 -8.711981e-02
131000	 6.5395445e-02 -1.2378262e+02  4.1505639e-02  7.1606692e-03  5.0997263e-01 -6.6702366e-02
132000	 6.8383232e-02 -1.2305873e+02  4.1165855e-02  7.0646941e-03  5.0527281e-01 -9.2241533e-02
133000	 6.5438852e-02 -1.2234746e+02  4.0827919e-02  6.9698840e-03  5.0742960e-01 -7.4764237e-02
134000	 6.8243764e-02 -1.2163296e+02  4.0499173e-02  6.8781539e-03  4.8139888e-01 -9.6292332e-02
135000	 6.4191386e-02 -1.2093659e+02  4.0199414e-02  6.7894370e-03  4.7941270e-01 -8.5258879e-02
